log_database_size,element_size,setup_time (s),setup_bandwidth (B),amortized_access_time (s),amortized_access_bandwidth (B)
6,32,4218.78,3.28146e+06,99.7024,79481
8,32,24494.3,1.89829e+07,142.482,113630
