log_database_size,element_size,setup_time (s),setup_bandwidth (B),amortized_access_time (s),amortized_access_bandwidth (B)
12,32,0.475097,1.04938e+06,1.10072,17905.1
12,64,0.847209,1.96765e+06,1.10612,35242.4
12,256,2.16448,7.47728e+06,1.10592,139266
12,1024,2.78336,2.95158e+07,1.14376,555362
12,4096,10.2262,1.1767e+08,1.27665,2.21975e+06
